ID,site,V_m3,dV_LperSec,N_above_m0,m0,mmax,afb,b,category,comment_N,comment_m0
77ta,Torre Alfina,4.20E+03,NA,177,NA,3,NA,NA,D,,
78ce,Cesano,2.00E+03,NA,NA,NA,2,NA,NA,D,,
83fh,Fenton Hill,2.10E+04,100,850,-3,0,NA,NA,C,,
87lm,Le Mayet,4.28E+04,14,107,-2,-1,NA,NA,C,,
88hi,Hijiori,2.00E+03,100,65,-4,-1,NA,NA,C,,
89fj,Fjallbacka,2.00E+02,NA,NA,NA,-0.2,NA,NA,D,,
91og,Ogashi,1.01E+04,11,1504,-2,NA,-2.65,0.74,A,injection period only,mc
92hi,Hijiori,2.10E+03,NA,90,-4,0,NA,NA,C,,
93og,Ogashi,5.40E+03,15,762,-1.2,NA,-3.2,0.81,A,injection period only,mc
93sf,Soultz-sous-Forets,2.59E+04,19,9550,-1,1.9,-2,1.38,A,injection period only,mc
94ktb,KTB,8.60E+01,3,54,-1.3,1.2,-1.65,0.93,A,injection period only,mc
95sf,Soultz-sous-Forets,2.85E+04,30,3950,-1.2,NA,-3.8,2.18,A,injection period only,mc
96sf,Soultz-sous-Forets,1.35E+04,78,3325,-1.2,NA,-3.1,1.77,A,injection period only,mc
00ktb,KTB,4.00E+03,1,2799,-1.2,1.1,NA,NA,C,,
00sf,Soultz-sous-Forets,2.34E+04,45,6405,0.6,2.5,-0.5,1.1,A,injection period only,mc
02bu,Bad Urach,5.60E+03,NA,290,NA,1.8,NA,NA,D,,
03be,Berlin,3.00E+05,80,134,-0.5,3.7,NA,NA,C,,
03ha,Habanero,1.46E+04,19,2834,0,3.7,-0.95,0.75,A,injection period only,mc
03sf,Soultz-sous-Forets,3.30E+04,30,4728,-0.9,2.9,NA,0.83,B,,
04ktb,KTB,6.41E+04,3,2405,-1,NA,-4.2,1.1,A,injection period only,mc
04sf,Soultz-sous-Forets,9.30E+03,30,923,-0.3,2.3,NA,0.81,B,,
05ha,Habanero,2.25E+04,20,16017,-1.2,2.9,,0.83,B,,
05pa,Paralana,3.10E+03,7,7085,-0.6,2.5,,1.32,B,,
05sf,Soultz-sous-Forets,1.23E+04,36,449,-0.3,2.7,NA,0.89,B,,
06ba,Basel,1.08E+04,23,2313,1,3.4,0.4,1.65,A,injection period only,mc
07ge,Geysers,1.05E+07,50,1776,1.4,3.2,NA,1.22,B,,
07gs,Gross Schoeneback,1.30E+04,25,68,-1.8,-1,NA,NA,C,,
10jo,Jolokia,3.80E+02,1,73,-1.4,1,NA,NA,C,injection period only,
11dp,Desert Peak,6.50E+04,33,18,0,0.7,NA,NA,C,,
12ha,Habanero,3.40E+04,22,23960,-1.6,3,NA,1.01,B,injection period only,
12nb,Newberry,4.00E+04,NA,NA,0.2,NA,-2.8,0.8,A,,mc
13rr,Raft River,3.41E+05,9,187,-1.3,1,NA,NA,C,,
13ri,Rittershoffen,3.20E+03,41,831,-1.4,0.9,NA,1.16,B,injection period only,
13sg,St Gallen,1.20E+03,NA,349,-1.1,3.5,NA,0.83,B,,
14nb,Newberry,9.50E+03,NA,398,0.1,2.26,-1.6,1,A,,mc
15as,Aspo,1.00E-01,0.05,196,-4.2,-3.5,NA,2.9,B,,
16po,Pohang,1.28E+04,NA,98,-1,3.3,-1.65,0.65,A,,
17gr,Grimsel,1.40E+00,NA,65,-4.3,-2.5,-2.4,1.03,A,,mc
18es,Espoo,1.82E+04,4,43882,-0.6,1.9,NA,1.3,B,,
